network,method,time,modularity,cunductance,accurary
10000_0.6_3,normal louvain,17.237192630767822,0.4057912366414184,0.42306403858904995,0.18417525834428555
10000_0.6_3,normal louvain,19.579028844833374,0.40601158223637085,0.4226382474989082,0.18806422516473145
10000_0.6_3,split_louvain,29.69660210609436,0.40600345451234715,0.4219690519156166,0.19493972181057714
10000_0.6_3,split_louvain_remerge,32.1731595993042,0.40618069650079996,0.42104545236563806,0.21534043937321556
10000_0.6_3,split_girvan,459.04814434051514,0.40570931663838994,0.42187011249910034,0.19409448639899612
10000_0.6_3,split_girvan_remerge,468.67440128326416,0.40580177512960175,0.4222281821820786,0.19253244631343625
10000_0.6_3,split_nx.girvan_mod,347.49968552589417,0.4055612352416555,0.4226972341464139,0.18531614404929223
10000_0.6_3,split_nx.girvan_mod_remerge,343.4469373226166,0.40241049218179437,0.26384906645753936,0.19517181398282032
10000_0.6_3,split_nx.girvan_con,597.5224690437317,0.40581576242303125,0.42262134132874984,0.19071975637881397
10000_0.6_3,split_nx.girvan_con_remerge,639.9625985622406,0.40594976074507666,0.42209502645420927,0.19717559838724177
10000_0.6_8,normal louvain,12.422878503799438,0.40626159646202537,0.4224990059009981,0.19570159592191066
10000_0.6_8,normal louvain,13.04317569732666,0.40588140593862815,0.4216365012641472,0.20120708885282318
10000_0.6_8,split_louvain,19.125389575958252,0.4061939661969363,0.42266044947595316,0.1879968380684382
10000_0.6_8,split_louvain_remerge,21.844869375228882,0.40630406203024405,0.42170448228469326,0.20248549309429137
10000_0.6_8,split_girvan,318.00677394866943,0.40594747065436926,0.42234219349703517,0.19017294757605763
10000_0.6_8,split_girvan_remerge,318.30801939964294,0.4058334996396546,0.4213450934035935,0.20112288527735125
10000_0.6_8,split_nx.girvan_mod,244.67523217201233,0.4058135500125653,0.4230309651066172,0.18474454367202953
10000_0.6_8,split_nx.girvan_mod_remerge,125.49964356422424,0.40500539745644903,0.35200845918405543,0.19059029379413123
10000_0.6_8,split_nx.girvan_con,216.94052696228027,0.4060621007812072,0.42163656815808614,0.19986379083089909
10000_0.6_8,split_nx.girvan_con_remerge,212.0743637084961,0.4061650565563148,0.41104230379446083,0.19279287532034023
10000_0.6_0,normal louvain,10.87288761138916,0.4063936429941303,0.42231529693011316,0.19980389172274396
10000_0.6_0,normal louvain,6.611566543579102,0.40620834420301294,0.42193119201742557,0.19275083113119088
10000_0.6_0,split_louvain,10.890639066696167,0.40616401349608333,0.42272885542815775,0.18362138069654202
10000_0.6_0,split_louvain_remerge,27.49447798728943,0.4061304546944209,0.42271544351660806,0.1858358676634849
10000_0.6_0,split_girvan,446.80740118026733,0.4060151680465865,0.42190946768408566,0.19488769750849155
