network,method,time,modularity,cunductance,accurary
1000_0.5_1,split_newman_remerge,63.74491,0.458351229,0.507012783,0.640596832
***,***,***,***,***,***
1000_0.6_1,normal louvain,0.416694641,0.356937228,0.415584102,0.480108939
1000_0.6_1,split_louvain,0.754137993,0.366249583,0.41450552,0.572528302
1000_0.6_1,split_louvain_remerge,0.783991575,0.366439306,0.408604608,0.665181886
1000_0.6_1,split_girvan,19.17560887,0.366331194,0.415860399,0.57093554
1000_0.6_1,split_girvan_remerge,15.34434581,0.36414524,0.420545777,0.514148534
1000_0.6_1,split_newman,71.83003712,0.349020291,0.409581311,0.422875445
1000_0.6_1,split_newman_remerge,90.63952994,0.347905706,0.40424984,0.458008658
***,***,***,***,***,***
100_0.4_2,normal louvain,0.036634207,0.246059026,0.432008408,0.643882826
100_0.4_2,split_louvain,0.055244923,0.243487754,0.484870853,0.725797426
100_0.4_2,split_louvain_remerge,0.055650234,0.248436015,0.431987669,0.608115942
100_0.4_2,split_girvan,0.802156448,0.211332279,0.401419671,0.324091778
100_0.4_2,split_girvan_remerge,1.373353243,0.247415277,0.490279964,0.58081611
100_0.4_2,split_newman,3.369072914,0.233526222,0.410872257,0.50422833
100_0.4_2,split_newman_remerge,3.765684128,0.230142694,0.459734317,0.523024721
***,***,***,***,***,***
100_0.5_2,normal louvain,0.02158165,0.18698811,0.392085182,0.248415716
100_0.5_2,split_louvain,0.050079346,0.186792442,0.349662095,0.216726619
100_0.5_2,split_louvain_remerge,0.050539017,0.184717768,0.341320906,0.236338798
100_0.5_2,split_girvan,0.331551313,0.183147289,0.379878756,0.264427218
100_0.5_2,split_girvan_remerge,0.676296473,0.188940399,0.383145838,0.262445415
100_0.5_2,split_newman,2.960868597,0.173563191,0.425002165,0.318067227
100_0.5_2,split_newman_remerge,2.48374033,0.164821861,0.411755886,0.300625489
***,***,***,***,***,***
100_0.6_2,normal louvain,0.03249979,0.170213697,0.341464779,0.128828829
100_0.6_2,split_louvain,0.035876513,0.174536245,0.373463975,0.143663194
100_0.6_2,split_louvain_remerge,0.0622015,0.173238387,0.3144785,0.110954396
100_0.6_2,split_girvan,0.150196552,0.169386028,0.309600036,0.117061611
100_0.6_2,split_girvan_remerge,0.237921476,0.162816831,0.307154796,0.130872483
100_0.6_2,split_newman,2.711736917,0.157084555,0.3628705,0.144078666
100_0.6_2,split_newman_remerge,0.884019852,0.159009893,0.358190776,0.141835017
***,***,***,***,***,***
1000_0.4_2,normal louvain,0.21651125,0.562788988,0.602821877,0.872827405
1000_0.4_2,split_louvain,0.748764038,0.563694735,0.601783022,0.927912465
1000_0.4_2,split_louvain_remerge,0.599840641,0.252299078,0.244982607,0.225722543
1000_0.4_2,split_girvan,25.92242312,0.563694735,0.601783022,0.927912465
1000_0.4_2,split_girvan_remerge,25.59472609,0.563694735,0.601783022,0.927912465
1000_0.4_2,split_newman,65.25296402,0.550735878,0.60535323,0.611113074
1000_0.4_2,split_newman_remerge,64.41373754,0.55413591,0.602227258,0.71072062
***,***,***,***,***,***
1000_0.5_2,normal louvain,0.366889715,0.460279091,0.506974046,0.790918376
1000_0.5_2,split_louvain,0.79024601,0.461662318,0.505487762,0.855127559
1000_0.5_2,split_louvain_remerge,0.782961369,0.459922433,0.507115057,0.785774411
1000_0.5_2,split_girvan,25.18760061,0.460276902,0.506446681,0.796555987
1000_0.5_2,split_girvan_remerge,24.08723402,0.457831295,0.505208542,0.752996716
1000_0.5_2,split_newman,70.65257883,0.449451636,0.504953567,0.621024765
1000_0.5_2,split_newman_remerge,76.24339938,0.444286911,0.499202094,0.583583815
***,***,***,***,***,***
1000_0.6_2,normal louvain,0.452248573,0.358850723,0.407164535,0.629746835
1000_0.6_2,split_louvain,0.794292212,0.36170029,0.40735697,0.713169553
1000_0.6_2,split_louvain_remerge,0.762278318,0.362196171,0.407343041,0.723491698
1000_0.6_2,split_girvan,24.68300843,0.350920572,0.407766867,0.522999211
1000_0.6_2,split_girvan_remerge,20.50087714,0.35224874,0.408275255,0.542600169
1000_0.6_2,split_newman,85.34342766,0.345784252,0.41257854,0.433615606
1000_0.6_2,split_newman_remerge,73.75962925,0.342022678,0.409125665,0.411040123
***,***,***,***,***,***
100_0.4_3,normal louvain,0.029785633,0.212453162,0.37759096,0.285429142
100_0.4_3,split_louvain,0.060701847,0.224968775,0.425863753,0.394723491
100_0.4_3,split_louvain_remerge,0.049837112,0.217285605,0.421677003,0.33464761
100_0.4_3,split_girvan,0.338230371,0.215531056,0.584824638,0.701036014
100_0.4_3,split_girvan_remerge,0.411450624,0.220947522,0.384518961,0.378739316
100_0.4_3,split_newman,2.083778381,0.192479068,0.435430997,0.355210643
100_0.4_3,split_newman_remerge,2.417422295,0.175949637,0.367687174,0.241907262
***,***,***,***,***,***
100_0.5_3,normal louvain,0.017369509,0.180758047,0.302252528,0.124386826
100_0.5_3,split_louvain,0.047027349,0.178392532,0.343976168,0.157191781
100_0.5_3,split_louvain_remerge,0.052836895,0.184839612,0.383469142,0.192488263
100_0.5_3,split_girvan,0.168085814,0.181980464,0.324260501,0.123654047
100_0.5_3,split_girvan_remerge,0.154211521,0.182411575,0.353018841,0.171737661
100_0.5_3,split_newman,1.128200054,0.163691809,0.30213805,0.136600626
100_0.5_3,split_newman_remerge,1.615231991,0.172165674,0.335781797,0.166666667
***,***,***,***,***,***
100_0.6_3,normal louvain,0.016410112,0.187266554,0.332125106,0.130855715
100_0.6_3,split_louvain,0.045839548,0.190666581,0.335178102,0.132146204
100_0.6_3,split_louvain_remerge,0.050216198,0.190338482,0.356460819,0.146967822
100_0.6_3,split_girvan,0.083506346,0.185648066,0.316498871,0.124245313
100_0.6_3,split_girvan_remerge,0.297955275,0.188323874,0.38899598,0.186215236
100_0.6_3,split_newman,1.060217619,0.181143705,0.35414166,0.157279163
100_0.6_3,split_newman_remerge,1.089835644,0.161598803,0.328348691,0.170805572
***,***,***,***,***,***
1000_0.4_3,normal louvain,0.268927813,0.564292085,0.599174157,1
1000_0.4_3,split_louvain,0.720830202,0.564292085,0.599174157,1
1000_0.4_3,split_louvain_remerge,0.654505491,0.564292085,0.599174157,1
1000_0.4_3,split_girvan,27.63516974,0.562743794,0.600352785,0.879404938
1000_0.4_3,split_girvan_remerge,27.12437725,0.562594156,0.599631103,0.929830433
1000_0.4_3,split_newman,59.28078294,0.545002813,0.602977436,0.544071146
1000_0.4_3,split_newman_remerge,60.96473408,0.544688471,0.60667101,0.511838978
***,***,***,***,***,***
1000_0.5_3,normal louvain,0.351060152,0.456544197,0.50555172,0.706569171
1000_0.5_3,split_louvain,0.819299221,0.462257472,0.50218124,0.928274323
1000_0.5_3,split_louvain_remerge,0.78257966,0.462521237,0.502435058,0.93240496
1000_0.5_3,split_girvan,19.47829676,0.461448761,0.503517243,0.875938232
1000_0.5_3,split_girvan_remerge,19.39425683,0.459926539,0.501091402,0.84605604
1000_0.5_3,split_newman,61.76346755,0.43937653,0.498910189,0.568632476
1000_0.5_3,split_newman_remerge,66.89975095,0.447988884,0.506709981,0.576266846
***,***,***,***,***,***
1000_0.6_3,normal louvain,0.432077646,0.353989473,0.40884717,0.55385019
1000_0.6_3,split_louvain,1.009285212,0.358064728,0.406293016,0.677022229
