network,method,time,modularity,cunductance,accurary
1000_0.5_5,normal louvain,35.07656908035278,0.46383901435797814,0.5038940984408242,0.7641775357125794
1000_0.5_5,normal louvain,34.846327781677246,0.46677237163345686,0.5025157390448769,0.9130781499202552
1000_0.5_5,split_louvain,80.78142189979553,0.46677237163345686,0.5025157390448769,0.9130781499202552
1000_0.5_5,split_louvain_remerge,68.82873392105103,0.21605957261426836,0.21432632163833565,0.21696818465377418
1000_0.5_5,split_girvan,2431.9343111515045,0.46618056736694813,0.5032792659435594,0.8814472671285605
1000_0.5_5,split_girvan_remerge,2090.531099319458,0.46677237163345686,0.5025157390448769,0.9130781499202552
1000_0.5_5,split_nx.girvan_mod,1009.1258418560028,0.466567832884879,0.5032765147756088,0.8768187288042883
1000_0.5_5,split_nx.girvan_mod_remerge,912.5114719867706,0.33108030403627275,0.06913668068890844,0.46600124766063633
1000_0.5_5,split_nx.girvan_con,2785.0897421836853,0.4661186213459502,0.5045026998597061,0.8297101449275363
1000_0.6_5,normal louvain,70.76024055480957,0.3587382649139898,0.4128164240272436,0.4829727128798932
1000_0.6_5,normal louvain,53.40678262710571,0.3651292456033621,0.4137349882542518,0.611018490451652
1000_0.6_5,split_louvain,101.17248749732971,0.3640923168258492,0.4175249935168358,0.5296157950907151
1000_0.6_5,split_louvain_remerge,114.89473247528076,0.36178996805074864,0.40751464384038694,0.5957141749980625
1000_0.6_5,split_girvan,1541.8158478736877,0.36212408450196504,0.40936111826456245,0.5965826373457973
1000_0.6_5,split_girvan_remerge,1705.9140951633453,0.36054479726533273,0.41168505935286004,0.5102558825547094
1000_0.6_5,split_nx.girvan_mod,786.0885553359985,0.36469820885705007,0.4131077320729223,0.582269685111363
1000_0.6_5,split_nx.girvan_mod_remerge,879.8911001682281,0.34089712465637545,0.16494770395162828,0.5568074748743719
1000_0.6_5,split_nx.girvan_con,3513.1019806861877,0.36632075375133355,0.41606681197147233,0.586765723442223
1000_0.6_0,normal louvain,10.884266376495361,0.36166077758959386,0.4163835588946999,0.46197559233611774
1000_0.6_0,normal louvain,11.957192659378052,0.36067467226304256,0.4184452353217204,0.4684002949947093
1000_0.6_0,split_louvain,26.616503715515137,0.3666470322502437,0.4197881309028756,0.5488537022083348
1000_0.6_0,split_louvain_remerge,27.885440349578857,0.36895534672226293,0.4191712799056553,0.592964824120603
1000_0.6_0,split_girvan,1721.7682075500488,0.36219121482608535,0.4152777640466938,0.5191379310344828
1000_0.6_0,split_girvan_remerge,1818.737916469574,0.3612148257450081,0.4216202079468283,0.4385603204524034
1000_0.6_0,split_nx.girvan_mod,834.133748292923,0.36815211440816087,0.4250392159618295,0.5277512434533417
1000_0.6_0,split_nx.girvan_mod_remerge,1000.9144926071167,0.3470755955888314,0.195985126655286,0.5641607000795545
1000_0.6_0,split_nx.girvan_con,3346.9491715431213,0.36618792688945584,0.41930618115564544,0.5412737098654233
1000_0.5_1,normal louvain,5.624997615814209,0.4652591410308335,0.5125130911660123,0.6764859963731614
1000_0.5_1,normal louvain,7.203507900238037,0.4650707851846184,0.5100646034223661,0.71004344708314
1000_0.5_1,split_louvain,24.55918860435486,0.46611080051294634,0.5106808592543883,0.712067868504772
1000_0.5_1,split_louvain_remerge,29.5260648727417,0.46611080051294634,0.5106808592543883,0.712067868504772
1000_0.5_1,split_girvan,2489.1026079654694,0.46504396780996277,0.5099927752073887,0.706137214487023
1000_0.5_1,split_girvan_remerge,2028.568443775177,0.465437717834389,0.5126310136126242,0.6788935172079104
1000_0.5_1,split_nx.girvan_mod,955.0850069522858,0.46611080051294634,0.5106808592543883,0.712067868504772
1000_0.5_1,split_nx.girvan_mod_remerge,1027.399198770523,0.44178337924083894,0.22594389190148056,0.6162856910436834
1000_0.5_1,split_nx.girvan_con,3005.558628320694,0.46611080051294634,0.5106808592543883,0.712067868504772
1000_0.6_2,normal louvain,14.697169542312622,0.3576553109224818,0.4082676389777201,0.6072388904613643
1000_0.6_2,normal louvain,12.386512756347656,0.35270512895255346,0.40786855809247047,0.49960503129367445
1000_0.6_2,split_louvain,27.863694190979004,0.35994991823558137,0.40148190139675866,0.7278365405038019
1000_0.6_2,split_louvain_remerge,39.43978190422058,0.35457029617265606,0.4092756509984433,0.5334577875052303
1000_0.6_2,split_girvan,3043.7912640571594,0.3502259075965581,0.4107312748799773,0.46202150537634407
1000_0.6_2,split_girvan_remerge,2009.6976699829102,0.35187384099926805,0.40855111882436923,0.4757947656365518
1000_0.6_2,split_nx.girvan_mod,1776.5331587791443,0.3605223639616596,0.4118663264754525,0.6459228242428617
1000_0.6_2,split_nx.girvan_mod_remerge,1057.6664454936981,0.3532947902005119,0.27103718358733997,0.7403746546961326
1000_0.5_7,normal louvain,29.840508937835693,0.46309270873577596,0.5076800443866902,0.7926524993547277
1000_0.5_7,normal louvain,21.899672985076904,0.46051591269319486,0.5088659215732967,0.7240647595095882
