i,size,mu,method,random,remerge,relative,time,modularity,conductance,jaccard
3,1000,0.4,None,TRUE,FALSE,FALSE,1.318119287,0.564292085,0.599174157,1
4,1000,0.4,None,TRUE,FALSE,FALSE,1.433077335,0.562109222,0.598802431,1
5,1000,0.4,None,TRUE,FALSE,FALSE,1.67827034,0.561275568,0.600472937,0.974464711
6,1000,0.4,None,TRUE,FALSE,FALSE,1.682841301,0.564143656,0.603499382,0.916903933
7,1000,0.4,None,TRUE,FALSE,FALSE,1.296651363,0.565462211,0.601183512,0.94451146
8,1000,0.4,None,TRUE,FALSE,FALSE,1.444116116,0.560565708,0.601137295,1
9,1000,0.4,None,TRUE,FALSE,FALSE,1.447562695,0.562048877,0.599947937,0.974108944
0,10000,0.4,None,TRUE,FALSE,FALSE,22.89149785,0.60259796,0.613270204,0.295600367
1,10000,0.4,None,TRUE,FALSE,FALSE,24.11458683,0.601736616,0.612136782,0.305386715
2,10000,0.4,None,TRUE,FALSE,FALSE,25.39434862,0.601907455,0.612001629,0.309191979
3,10000,0.4,None,TRUE,FALSE,FALSE,24.66320562,0.602202872,0.612280074,0.313871365
4,10000,0.4,None,TRUE,FALSE,FALSE,25.41486645,0.601578371,0.612036191,0.300529604
5,10000,0.4,None,TRUE,FALSE,FALSE,24.1525104,0.601848402,0.611883655,0.316092072
6,10000,0.4,None,TRUE,FALSE,FALSE,22.96508765,0.601700437,0.612013305,0.308315157
7,10000,0.4,None,TRUE,FALSE,FALSE,19.5988214,0.602377748,0.613378081,0.280289093
8,10000,0.4,None,TRUE,FALSE,FALSE,19.53741598,0.601833157,0.612224778,0.293653163
9,10000,0.4,None,TRUE,FALSE,FALSE,19.29579425,0.602129302,0.612836701,0.291487827
0,1000,0.5,None,TRUE,FALSE,FALSE,1.26086998,0.462052161,0.50288775,0.914499626
1,1000,0.5,None,TRUE,FALSE,FALSE,1.302933216,0.465702532,0.511979303,0.683370649
2,1000,0.5,None,TRUE,FALSE,FALSE,1.77982688,0.461662318,0.505487762,0.855127559
3,1000,0.5,None,TRUE,FALSE,FALSE,1.82048583,0.458861162,0.505590869,0.744942402
4,1000,0.5,None,TRUE,FALSE,FALSE,1.779600143,0.463009066,0.504087465,0.848919834
5,1000,0.5,None,TRUE,FALSE,FALSE,1.161027431,0.466685412,0.502407536,0.902640914
6,1000,0.5,None,TRUE,FALSE,FALSE,1.456225157,0.463618006,0.504579712,0.917796023
7,1000,0.5,None,TRUE,FALSE,FALSE,1.479303122,0.462933247,0.507350282,0.789272688
8,1000,0.5,None,TRUE,FALSE,FALSE,1.303197861,0.46037865,0.507580732,0.742283377
9,1000,0.5,None,TRUE,FALSE,FALSE,1.559832573,0.461549158,0.501529447,0.916479007
0,10000,0.5,None,TRUE,FALSE,FALSE,26.06246805,0.503978477,0.516610834,0.252940637
1,10000,0.5,None,TRUE,FALSE,FALSE,26.94427633,0.50354533,0.516380871,0.249193082
2,10000,0.5,None,TRUE,FALSE,FALSE,30.74162889,0.504113982,0.51612194,0.259747432
3,10000,0.5,None,TRUE,FALSE,FALSE,25.79547644,0.503867394,0.516583731,0.243950965
4,10000,0.5,None,TRUE,FALSE,FALSE,25.80026412,0.503693842,0.516267458,0.246445362
5,10000,0.5,None,TRUE,FALSE,FALSE,22.06184316,0.50422493,0.516773672,0.256049093
6,10000,0.5,None,TRUE,FALSE,FALSE,22.7077117,0.504053081,0.51655656,0.258138626
7,10000,0.5,None,TRUE,FALSE,FALSE,24.32979298,0.504446638,0.517956562,0.237887922
8,10000,0.5,None,TRUE,FALSE,FALSE,23.51628709,0.504270727,0.516550332,0.252121988
9,10000,0.5,None,TRUE,FALSE,FALSE,34.86896801,0.503981888,0.516311499,0.249908271
0,1000,0.6,None,TRUE,FALSE,FALSE,1.818078756,0.362563563,0.422232052,0.450776893
