i,size,mu,method,random,remerge,relative,time,modularity,conductance,jaccard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,10000,0.6,Louvain,TRUE,FALSE,TRUE,5.336828709,0.406328496,0.421725878,0.203814894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,0.6,Louvain,TRUE,FALSE,TRUE,4.982632875,0.40658299,0.421692159,0.193470866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10000,0.6,Louvain,TRUE,FALSE,TRUE,4.703773737,0.406175869,0.421752604,0.19356264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10000,0.6,Louvain,TRUE,FALSE,TRUE,4.869671345,0.405776816,0.422038757,0.189940705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10000,0.6,Louvain,TRUE,FALSE,TRUE,5.519162655,0.406443482,0.422072696,0.197363867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10000,0.6,Louvain,TRUE,FALSE,TRUE,5.157663107,0.406272085,0.422544965,0.191144488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,10000,0.6,Louvain,TRUE,FALSE,TRUE,5.140688419,0.40604852,0.422214422,0.189899609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10000,0.6,Louvain,TRUE,FALSE,TRUE,5.605381727,0.40655277,0.422413515,0.186348646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10000,0.6,Louvain,TRUE,FALSE,TRUE,5.599054337,0.405679556,0.421500066,0.199184166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10000,0.6,Louvain,TRUE,FALSE,TRUE,5.249449968,0.405345896,0.42077115,0.209230665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
