i,size,mu,method,random,remerge,relative,time,modularity,conductance,jaccard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1000,0.5,GN_modularity,TRUE,FALSE,TRUE,11.51095057,0.466110801,0.510680859,0.712067869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1000,0.5,GN_modularity,TRUE,FALSE,TRUE,15.52676344,0.461662318,0.505487762,0.855127559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1000,0.5,GN_modularity,TRUE,FALSE,TRUE,12.57293534,0.462521237,0.502435058,0.93240496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1000,0.5,GN_modularity,TRUE,FALSE,TRUE,12.96585917,0.464201936,0.502605965,0.946408634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1000,0.5,GN_modularity,TRUE,FALSE,TRUE,11.09658074,0.466772372,0.502515739,0.91307815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1000,0.5,GN_modularity,TRUE,FALSE,TRUE,12.69551015,0.462370402,0.505278049,0.863859649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1000,0.5,GN_modularity,TRUE,FALSE,TRUE,17.22398639,0.463092709,0.507680044,0.792652499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1000,0.5,GN_modularity,TRUE,FALSE,TRUE,14.44447494,0.462901194,0.505108929,0.802752704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1000,0.5,GN_modularity,TRUE,FALSE,TRUE,13.77005196,0.461548108,0.499007317,0.996294682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1000,0.6,GN_modularity,TRUE,FALSE,TRUE,12.77987099,0.367049099,0.418465707,0.577837661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1000,0.6,GN_modularity,TRUE,FALSE,TRUE,8.736209393,0.367550663,0.413523064,0.643237443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1000,0.6,GN_modularity,TRUE,FALSE,TRUE,16.0564754,0.355250749,0.403721589,0.62836773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1000,0.6,GN_modularity,TRUE,FALSE,TRUE,16.97017193,0.35769202,0.407781084,0.605032513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1000,0.6,GN_modularity,TRUE,FALSE,TRUE,9.484137535,0.364432007,0.407991968,0.730082149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1000,0.6,GN_modularity,TRUE,FALSE,TRUE,11.23383474,0.365222454,0.411392951,0.622423387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1000,0.6,GN_modularity,TRUE,FALSE,TRUE,10.07986832,0.354848294,0.410495131,0.466711873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1000,0.6,GN_modularity,TRUE,FALSE,TRUE,9.332902908,0.361243165,0.409064613,0.625253756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1000,0.6,GN_modularity,TRUE,FALSE,TRUE,10.78215432,0.364285607,0.413492602,0.634431933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1000,0.6,GN_modularity,TRUE,FALSE,TRUE,28.19652057,0.363682418,0.41709617,0.602131198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,10000,0.4,GN_modularity,TRUE,FALSE,TRUE,101.8394918,0.602660453,0.613194861,0.29668317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,0.4,GN_modularity,TRUE,FALSE,TRUE,91.01697159,0.601741107,0.612161541,0.298853436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10000,0.4,GN_modularity,TRUE,FALSE,TRUE,166.2327781,0.601986521,0.612147585,0.300550226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10000,0.4,GN_modularity,TRUE,FALSE,TRUE,105.0328271,0.602291471,0.612790577,0.300507975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10000,0.4,GN_modularity,TRUE,FALSE,TRUE,87.19587207,0.601641072,0.611914706,0.30536883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10000,0.4,GN_modularity,TRUE,FALSE,TRUE,87.34174299,0.601993202,0.613010167,0.281826865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,10000,0.4,GN_modularity,TRUE,FALSE,TRUE,90.1205759,0.601842709,0.612081801,0.309037566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10000,0.4,GN_modularity,TRUE,FALSE,TRUE,84.67247939,0.602312088,0.612420626,0.301290084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10000,0.4,GN_modularity,TRUE,FALSE,TRUE,86.97781062,0.601903141,0.612517942,0.287507693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10000,0.4,GN_modularity,TRUE,FALSE,TRUE,87.07646585,0.601998336,0.612129203,0.310758449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,10000,0.5,GN_modularity,TRUE,FALSE,TRUE,64.1552279,0.503950978,0.516244701,0.252043707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,0.5,GN_modularity,TRUE,FALSE,TRUE,66.86861515,0.503696587,0.516676476,0.246162509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10000,0.5,GN_modularity,TRUE,FALSE,TRUE,64.66175461,0.504026021,0.516169714,0.262119514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10000,0.5,GN_modularity,TRUE,FALSE,TRUE,65.54591298,0.50384744,0.516282709,0.257980927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10000,0.5,GN_modularity,TRUE,FALSE,TRUE,65.00466394,0.503878078,0.516478929,0.253143123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10000,0.5,GN_modularity,TRUE,FALSE,TRUE,63.1275692,0.50443292,0.517959679,0.230325244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000_0.5_6,ERRORException type : KeyboardInterrupt Exception message : Stack trace : ['File : /home/talyasapir2/BioNetworkClustering/YemeniteStep/yemeniteStepTesterLinux.py , Line : 78, Func.Name : run_test,TRUE,FALSE,TRUE, Message : comms = ys.get_communities(G, splitting_func=method, randomized=RANDOMIZED, remerge=REMERGE ,relative=RELATIVE)', 'File : /home/talyasapir2/BioNetworkClustering/YemeniteStep/yemenitestep.py , Line : 408, Func.Name : get_communities, Message : louvain.run()', 'File : /home/talyasapir2/BioNetworkClustering/YemeniteStep/yemenitestep.py , Line : 41, Func.Name : run, Message : self.iterate()', 'File : /home/talyasapir2/BioNetworkClustering/YemeniteStep/yemenitestep.py , Line : 135, Func.Name : iterate, Message : self.split_communities(self.communities, community_map)', 'File : /home/talyasapir2/BioNetworkClustering/YemeniteStep/yemenitestep.py , Line : 207, Func.Name : split_communities, Message : sub_community_map = self.splitting_func(subgraph, self.tracker.m, self.tracker.degrees)', 'File : /home/talyasapir2/BioNetworkClustering/YemeniteStep/splitting_functions.py , Line : 40, Func.Name : girvanNewmanMaxModularity, Message : for comp in comps:', 'File : /home/talyasapir2/.local/lib/python3.9/site-packages/networkx/algorithms/community/centrality.py , Line : 147, Func.Name : girvan_newman, Message : yield _without_most_central_edges(g, most_valuable_edge)', 'File : /home/talyasapir2/.local/lib/python3.9/site-packages/networkx/algorithms/community/centrality.py , Line : 166, Func.Name : _without_most_central_edges, Message : edge = most_valuable_edge(G)', 'File : /home/talyasapir2/.local/lib/python3.9/site-packages/networkx/algorithms/community/centrality.py , Line : 138, Func.Name : most_valuable_edge, Message : betweenness = nx.edge_betweenness_centrality(G)'," ""File : <class 'networkx.utils.decorators.argmap'> compilation 17 ", Line : 4, Func.Name : argmap_edge_betweenness_centrality_14," Message : import inspect""", 'File : /home/talyasapir2/.local/lib/python3.9/site-packages/networkx/algorithms/centrality/betweenness.py , Line : 233, Func.Name : edge_betweenness_centrality, Message : betweenness = _accumulate_edges(betweenness, S, P, sigma, s)', 'File : /home/talyasapir2/.local/lib/python3.9/site-packages/networkx/algorithms/centrality/betweenness.py , Line : 353, Func.Name : _accumulate_edges, Message : delta[v] += c']
0,1000,0.4,Louvain,TRUE,FALSE,TRUE,0.529910803,0.561995227,0.599219511,0.974604089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1000,0.4,Louvain,TRUE,FALSE,TRUE,0.468885899,0.562800518,0.6017979,0.941740771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1000,0.4,Louvain,TRUE,FALSE,TRUE,0.519432545,0.562576268,0.602977279,0.860867834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1000,0.4,Louvain,TRUE,FALSE,TRUE,0.505929947,0.564235499,0.60015126,0.948668336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1000,0.4,Louvain,TRUE,FALSE,TRUE,0.516050339,0.562109222,0.598802431,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1000,0.4,Louvain,TRUE,FALSE,TRUE,0.600386143,0.561275568,0.600472937,0.974464711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1000,0.4,Louvain,TRUE,FALSE,TRUE,0.490893364,0.564143656,0.603499382,0.916903933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1000,0.4,Louvain,TRUE,FALSE,TRUE,0.511620045,0.565462211,0.601183512,0.94451146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1000,0.4,Louvain,TRUE,FALSE,TRUE,0.521362543,0.560565708,0.601137295,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1000,0.4,Louvain,TRUE,FALSE,TRUE,0.618773222,0.562048877,0.599947937,0.974108944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1000,0.5,Louvain,TRUE,FALSE,TRUE,0.611417532,0.462052161,0.50288775,0.914499626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1000,0.5,Louvain,TRUE,FALSE,TRUE,0.528059721,0.465636504,0.512467076,0.688923544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1000,0.5,Louvain,TRUE,FALSE,TRUE,0.728708982,0.461548408,0.505381013,0.847294461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1000,0.5,Louvain,TRUE,FALSE,TRUE,0.598526001,0.461773312,0.503761305,0.858845053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1000,0.5,Louvain,TRUE,FALSE,TRUE,0.547942877,0.464201936,0.502605965,0.946408634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1000,0.5,Louvain,TRUE,FALSE,TRUE,0.591927528,0.466772372,0.502515739,0.91307815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1000,0.5,Louvain,TRUE,FALSE,TRUE,0.764378548,0.463260693,0.505757683,0.872730693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1000,0.5,Louvain,TRUE,FALSE,TRUE,0.626451731,0.462537296,0.509187267,0.751039374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1000,0.5,Louvain,TRUE,FALSE,TRUE,0.542570353,0.462901194,0.505108929,0.802752704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1000,0.5,Louvain,TRUE,FALSE,TRUE,0.555663109,0.461853386,0.500505327,0.960961276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1000,0.6,Louvain,TRUE,FALSE,TRUE,0.62470293,0.364905833,0.414452529,0.579445216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1000,0.6,Louvain,TRUE,FALSE,TRUE,0.63649869,0.363884524,0.414073503,0.538924501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
