i,size,mu,method,time,modularity,conductance,jaccard
0,10000,0.4,Louvain,7.120746374130249,0.6026248015626652,0.6131146090228463,0.30271140297295485
1,10000,0.4,Louvain,7.881246089935303,0.6016565224242404,0.6117323489876729,0.30534264392054855
2,10000,0.4,Louvain,6.852802991867065,0.6019666443557025,0.6119529881998078,0.3051822541529148
3,10000,0.4,Louvain,7.445449352264404,0.6022604220551243,0.6127034764640792,0.30010621897207335
4,10000,0.4,Louvain,6.927269220352173,0.601678239831323,0.6118346628774363,0.2963057253268769
5,10000,0.4,Louvain,7.256829261779785,0.6018782665869332,0.6122636763808154,0.30612174935993086
6,10000,0.4,Louvain,6.415483474731445,0.601820429680936,0.6115696793747885,0.32858915450086273
7,10000,0.4,Louvain,4.223350763320923,0.602328652376721,0.6126506194046369,0.30417461132296864
8,10000,0.4,Louvain,4.652485132217407,0.6017808808604831,0.6120305085735276,0.2972588789408919
9,10000,0.4,Louvain,4.0037455558776855,0.602054311882701,0.6125117574655418,0.2997894617551701
0,10000,0.5,Louvain,4.595528841018677,0.5039207991248948,0.5161755095237702,0.2616422665008893
1,10000,0.5,Louvain,4.531479597091675,0.5037000205973358,0.5168926079435159,0.2421966898234152
2,10000,0.5,Louvain,4.404187917709351,0.5040435120099269,0.5169549851367808,0.2445044673083114
3,10000,0.5,Louvain,4.387078762054443,0.5038109736599686,0.5167626850861404,0.2457170441588504
4,10000,0.5,Louvain,4.567938327789307,0.5037834807099142,0.5163941016643658,0.24608630425210584
5,10000,0.5,Louvain,4.6363911628723145,0.5043494567241061,0.5158583751088045,0.26549440114692313
6,10000,0.5,Louvain,4.455825567245483,0.5040506888607551,0.5163860626309515,0.25125664436890655
7,10000,0.5,Louvain,4.684042930603027,0.5044225831065614,0.516749284355615,0.2540251526959727
8,10000,0.5,Louvain,4.431106328964233,0.5044472204382703,0.5168144219924256,0.24636235026985795
9,10000,0.5,Louvain,5.864177465438843,0.5040236889598957,0.5161338442127171,0.2544137255703222
0,10000,0.6,Louvain,5.336828708648682,0.40632849641520297,0.4217258777386055,0.20381489363751049
1,10000,0.6,Louvain,4.982632875442505,0.40658299017567195,0.42169215889375566,0.19347086613809686
2,10000,0.6,Louvain,4.703773736953735,0.40617586941941797,0.42175260409577764,0.1935626396537163
3,10000,0.6,Louvain,4.86967134475708,0.4057768155702174,0.4220387570943128,0.18994070537587543
4,10000,0.6,Louvain,5.519162654876709,0.4064434815065921,0.4220726960794269,0.19736386716436286
5,10000,0.6,Louvain,5.157663106918335,0.4062720847187368,0.42254496489497884,0.19114448777962922
6,10000,0.6,Louvain,5.140688419342041,0.4060485196623303,0.42221442246657004,0.18989960907941683
7,10000,0.6,Louvain,5.605381727218628,0.40655277022240066,0.42241351474787536,0.18634864559693232
8,10000,0.6,Louvain,5.599054336547852,0.4056795559487564,0.4215000658679081,0.19918416560606655
9,10000,0.6,Louvain,5.249449968338013,0.40534589593065695,0.4207711501397424,0.20923066471267604
