i,size,mu,method,random,remerge,relative,time,modularity,conductance,jaccard
0,1000,0.4,GN_conductance,False,True,False,129.36137986183167,0.3948511846336482,0.054834148206528655,0.615752777121248
1,1000,0.4,GN_conductance,False,True,False,112.67093348503113,0.5609708133746596,0.5826605255359893,0.9387227162489895
2,1000,0.4,GN_conductance,False,True,False,107.12808156013489,0.480028647731426,0.12004281996235378,0.7415028901734104
3,1000,0.4,GN_conductance,False,True,False,112.29595732688904,0.49360972813111026,0.16312432290940637,0.8077384523095381
4,1000,0.4,GN_conductance,False,True,False,140.3245198726654,0.4333769241838505,0.07377445433826524,0.6990191605839416
5,1000,0.4,GN_conductance,False,True,False,125.38972973823547,0.3785886252421707,0.04727211812064469,0.6042751736111112
6,1000,0.4,GN_conductance,False,True,False,136.7131896018982,0.5548938338796555,0.42250476657845604,0.8366118614210217
7,1000,0.4,GN_conductance,False,True,False,123.78414869308472,0.4986536005142481,0.1566840870354228,0.7891894996840715
8,1000,0.4,GN_conductance,False,True,False,129.74584698677063,0.5367970234743419,0.27839634648139866,0.9332231933489661
9,1000,0.4,GN_conductance,False,True,False,116.61252403259277,0.3962809503744497,0.05745921873777182,0.6169600736393971
0,10000,0.4,GN_conductance,False,True,False,1107.690158367157,0.6004534716911645,0.513896253319498,0.3034684610755512
1,10000,0.4,GN_conductance,False,True,False,1127.818393945694,0.5989737659583786,0.48146927863805067,0.31319023595633066
2,10000,0.4,GN_conductance,False,True,False,1126.178496837616,0.6016727106967541,0.5993626988520167,0.3059995134095902
3,10000,0.4,GN_conductance,False,True,False,1102.2518374919891,0.6006615025410956,0.5260154639357701,0.3151668849071511
4,10000,0.4,GN_conductance,False,True,False,1106.649817943573,0.5981644115434912,0.4582770284280894,0.3010924775323536
5,10000,0.4,GN_conductance,False,True,False,1123.8594236373901,0.60089129054851,0.5705077825204925,0.31303759990099944
6,10000,0.4,GN_conductance,False,True,False,1151.1004211902618,0.6013125684482157,0.586635962570258,0.30056208681828345
7,10000,0.4,GN_conductance,False,True,False,1078.2251887321472,0.5966231258250143,0.3847814154727305,0.3002436253794091
8,10000,0.4,GN_conductance,False,True,False,1095.8678669929504,0.6016111595081127,0.6118545305843425,0.3094350940528565
9,10000,0.4,GN_conductance,False,True,False,1090.4797947406769,0.6007509620730748,0.5346422097859082,0.31075560917920864
0,1000,0.5,GN_conductance,False,True,False,109.48644018173218,0.46092851574408344,0.5037481595670723,0.8592599540402382
1,1000,0.5,GN_conductance,False,True,False,84.24904155731201,0.46611080051294634,0.5106808592543883,0.712067868504772
2,1000,0.5,GN_conductance,False,True,False,129.03638362884521,0.45969049444150395,0.5071011051173437,0.7549229711697869
3,1000,0.5,GN_conductance,False,True,False,96.8521523475647,0.46167167927021735,0.48716483705577807,0.9286440333401098
4,1000,0.5,GN_conductance,False,True,False,105.85679221153259,0.4581274210526055,0.3772752526910119,0.8864666196757628
5,1000,0.5,GN_conductance,False,True,False,84.48090147972107,0.4651010307831064,0.4592927029357927,0.9073251310093415
6,1000,0.5,GN_conductance,False,True,False,100.36787271499634,0.46361800621450194,0.5045797117732849,0.9177960233455337
7,1000,0.5,GN_conductance,False,True,False,137.53645849227905,0.44678156216412124,0.24582821753338413,0.7880829934385529
8,1000,0.5,GN_conductance,False,True,False,161.42470264434814,0.45918478119780015,0.5095846854486576,0.6549486803519061
9,1000,0.5,GN_conductance,False,True,False,94.06246972084045,0.46185338591304576,0.5005053265357231,0.9609612761045231
0,10000,0.5,GN_conductance,False,True,False,873.9492383003235,0.5017389347932754,0.39795421553393684,0.25570622180631536
1,10000,0.5,GN_conductance,False,True,False,912.6856153011322,0.5016189111494744,0.4052889522888736,0.25809549101067797
2,10000,0.5,GN_conductance,False,True,False,797.6720714569092,0.5021395976035952,0.3882250474343576,0.24615797128059852
3,10000,0.5,GN_conductance,False,True,False,493.56594729423523,0.5025213299207538,0.4169815095032755,0.2426968874863785
4,10000,0.5,GN_conductance,False,True,False,444.31336784362793,0.5017915395745837,0.40755902391522825,0.2536607280534238
5,10000,0.5,GN_conductance,False,True,False,439.3072724342346,0.501813158488848,0.36467935732098367,0.24453079279837517
6,10000,0.5,GN_conductance,False,True,False,457.47362756729126,0.5018695148414647,0.41209044217843194,0.25499895565516484
7,10000,0.5,GN_conductance,False,True,False,450.40095257759094,0.503839929480137,0.4623472755313244,0.24847996378154155
8,10000,0.5,GN_conductance,False,True,False,431.77981877326965,0.5028744967113968,0.4335540041971879,0.2457677411525478
9,10000,0.5,GN_conductance,False,True,False,434.85672640800476,0.5039067807152254,0.5175827022943376,0.22376557372906267
0,1000,0.6,GN_conductance,False,True,False,81.88636183738708,0.3603912760979886,0.3261249758734247,0.4624862026789177
1,1000,0.6,GN_conductance,False,True,False,62.58167123794556,0.36617216497092003,0.4119294430458831,0.6002602113231351
2,1000,0.6,GN_conductance,False,True,False,50.544413328170776,0.36062990595822275,0.40791782887803285,0.6599977091367264
3,1000,0.6,GN_conductance,False,True,False,60.10826897621155,0.35662511977471945,0.4096674694921447,0.6103591968867307
4,1000,0.6,GN_conductance,False,True,False,36.91841793060303,0.3573113559676312,0.2610806677832145,0.6348122866894198
5,1000,0.6,GN_conductance,False,True,False,61.63735771179199,0.346690508815973,0.2088617752246511,0.5332356367188967
6,1000,0.6,GN_conductance,False,True,False,49.41824674606323,0.3590859733843218,0.408925972769165,0.5632449190492594
7,1000,0.6,GN_conductance,False,True,False,81.25887441635132,0.3618043934959163,0.41178352111128214,0.6182140402907881
8,1000,0.6,GN_conductance,False,True,False,68.83485507965088,0.3572604430133388,0.27076875185328,0.5962817792800892
9,1000,0.6,GN_conductance,False,True,False,108.02548933029175,0.35818515569030906,0.4106968655749188,0.5118879804529649
0,10000,0.6,GN_conductance,False,True,False,347.57277059555054,0.4058891555116083,0.3788261436820368,0.18695306460275465
1,10000,0.6,GN_conductance,False,True,False,356.9712128639221,0.4051637905131856,0.31155914749318236,0.19479056065016925
2,10000,0.6,GN_conductance,False,True,False,366.1099383831024,0.40622897520116963,0.42287373076885104,0.18831900173409372
3,10000,0.6,GN_conductance,False,True,False,378.9621114730835,0.40594976074507666,0.42209502645420927,0.19717559838724177
4,10000,0.6,GN_conductance,False,True,False,290.0878767967224,0.40472697837334337,0.30604968642514907,0.20111711925842296
5,10000,0.6,GN_conductance,False,True,False,270.96614623069763,0.4054781181277742,0.3573832245979248,0.19100790648458893
6,10000,0.6,GN_conductance,False,True,False,269.77307176589966,0.40610701914758524,0.4220604468870577,0.19923504622429075
7,10000,0.6,GN_conductance,False,True,False,252.50617337226868,0.4050046216160521,0.2988792564669238,0.19454787311967842
8,10000,0.6,GN_conductance,False,True,False,272.2187843322754,0.4061650565563148,0.41104230379446083,0.19279287532034023
9,10000,0.6,GN_conductance,False,True,False,157.22583723068237,0.40571311435889695,0.42126201638604155,0.20159136655074858
